message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762660.111652201";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762660.096073232";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762660.093149140";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762660.079483743";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762660.077463515";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762660.074339748";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762660.063998696";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762660.060867750";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762660.058599055";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762660.047520742";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762660.045201027";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762660.042730364";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762660.032017861";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762660.028704540";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762660.025862883";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762660.015566152";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762660.013168023";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762660.009980476";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.999931619";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.996655902";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.994163417";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.983444583";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.980975229";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.978249820";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.968030060";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.965318169";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.962353815";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.951603809";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.949535845";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.946632916";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.936044930";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.932826067";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.930797543";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.919487308";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.917136430";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.914812999";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.903878871";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim2.sim";"1759762659.901508055";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim1.sim";"1759762659.898699635";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.016884, y=11.116073])";"30";"turtlesim3.sim";"1759762659.888212597";"/home/ivan/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
